Replace Part J8 Connector x14 in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Connector x14 from Bauteile.SchLib
Replace Part R47 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R48 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R49 Potentiometer Buchsenleiste in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Potentiometer Buchsenleiste from Bauteile.SchLib
Replace Part R50 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R51 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R52 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R53 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R54 Potentiometer Buchsenleiste in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Potentiometer Buchsenleiste from Bauteile.SchLib
Replace Part R55 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R56 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R57 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R58 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R59 Potentiometer Buchsenleiste in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Potentiometer Buchsenleiste from Bauteile.SchLib
Replace Part R60 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part R61 0805 Widerstand in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with 0805 Widerstand from Bauteile.SchLib
Replace Part S1 Schalter Buchsenleiste in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Schalter Buchsenleiste from Bauteile.SchLib
Replace Part S2 Schalter Buchsenleiste in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Schalter Buchsenleiste from Bauteile.SchLib
Replace Part S3 Schalter Buchsenleiste in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with Schalter Buchsenleiste from Bauteile.SchLib
Replace Part U3 SOIC OPA4134UA in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with SOIC OPA4134UA from Bauteile.SchLib
Replace Part U3 SOIC OPA4134UA in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with SOIC OPA4134UA from Bauteile.SchLib
Replace Part U4 SOIC OPA4134UA in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with SOIC OPA4134UA from Bauteile.SchLib
Replace Part U4 SOIC OPA4134UA in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with SOIC OPA4134UA from Bauteile.SchLib
Replace Part U4 SOIC OPA4134UA in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with SOIC OPA4134UA from Bauteile.SchLib
Replace Part U4 SOIC OPA4134UA in Z:\Korschunov\Praxisphase\Altium\Mikrofonvorverstärker\AUX_Stufe.SchDoc with SOIC OPA4134UA from Bauteile.SchLib
