Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.249264, -14.12556
11.10697248729463, 0.268931, -13.469952
12.336483783351985, 0.23935, -13.097808
13.702098597164685, 0.243744, -13.00941
15.218883213690651, 0.185192, -12.491627
16.90357171418121, 0.167493, -12.803714
18.774750596642246, 0.167722, -12.666842
20.853063833272373, 0.095456, -12.98391
23.161440627195496, -0.005816, -12.718694
25.72534838123684, -0.040046, -13.332001
28.573073669646703, -0.076102, -13.667867
31.736034312620856, -0.162163, -14.32748
35.249125996611816, -0.18142, -14.835464
39.15110726455493, -0.289896, -15.586843
43.485027123453236, -0.328503, -16.613459
48.29869998694558, -0.434574, -17.756907
53.6452331927102, -0.535745, -18.96137
59.58361291459369, -0.690073, -20.398088
66.17935493360051, -0.873883, -21.985689
73.50522744744069, -1.089941, -23.63522
81.64205389310578, -1.34476, -25.214287
90.67960463969513, -1.585841, -26.793201
100.71758738918481, -1.881788, -28.567352
111.86674721183684, -2.208778, -30.710089
124.25008835250149, -2.629169, -32.405518
138.0042312875161, -3.121839, -33.971588
153.2809200040686, -3.6422, -35.292099
170.2486961312397, -4.221526, -36.743923
189.09475839274631, -4.802097, -37.548805
210.02702789598587, -5.463043, -38.341831
233.27644204289766, -6.220429, -38.371857
259.09950237044444, -6.949637, -38.168362
287.7811044300256, -7.738676, -36.981556
319.6376809267557, -8.56355, -35.453785
355.0206927956135, -9.376734, -32.896328
394.3205067301158, -10.16358, -29.403402
437.9707019427473, -10.932212, -24.789066
486.4528536719211, -11.598171, -19.040424
540.3018462099988, -12.062045, -12.427835
600.1117740688951, -12.308727, -4.897879
666.5424963884789, -12.336596, 2.811149
740.3269168999514, -12.088387, 10.367231
822.2790697611417, -11.63952, 16.975935
913.3031004715224, -11.061761, 22.857664
1014.4032409498082, -10.315791, 27.301132
1126.6948888252023, -9.553112, 31.034113
1251.4169131757003, -8.760755, 33.69928
1389.9453224777676, -7.992618, 35.525009
1543.8084455604426, -7.206728, 36.757545
1714.7037930492927, -6.49262, 37.123356
1904.5167853258238, -5.736323, 37.163551
2115.341553620474, -5.106966, 36.698956
2349.504043729368, -4.5309, 35.990223
2609.5876772489564, -3.988607, 34.997215
2898.4618534387228, -3.436183, 33.427517
3219.3136061616897, -2.918148, 32.046539
3575.6827651611143, -2.527159, 30.326708
3971.5010095938082, -2.146004, 28.639801
4411.135244682127, -1.842283, 26.865801
4899.435780042005, -1.558781, 25.051401
5441.789841219344, -1.301121, 23.465628
6044.181004806267, -1.097796, 21.790548
6713.255212861202, -0.880283, 20.239929
7456.394094943663, -0.742565, 18.444017
8281.79640669654, -0.581611, 17.281544
9198.5684834554, -0.494556, 15.909119
10216.82470682345, -0.364576, 14.172343
11347.799092620007, -0.323019, 13.171295
12603.96923130774, -0.212323, 12.305961
13999.19394828431, -0.208856, 11.001967
15548.866202789532, -0.175976, 10.419343
17270.082912300863, -0.138122, 9.59638
19181.83357602228, -0.123852, 9.083012
21305.209778474382, -0.062684, 8.779799
23663.637884555545, -0.073173, 8.639997
26283.137493306134, -0.049886, 8.167507
29192.60850179332, -0.004272, 7.821343
32424.149946178168, -0.009875, 7.393159
36013.41413761165, -0.015105, 7.414479
40000.000000000015, -0.054383, 7.471124
