x-axis,MATH
Hertz,dBV
+0.0E+00,-54.84375E+00
+5.000E+00,-55.70719E+00
+10.000E+00,-52.74969E+00
+15.000E+00,-53.86188E+00
+20.000E+00,-54.71313E+00
+25.000E+00,-58.60469E+00
+30.000E+00,-58.11156E+00
+35.000E+00,-56.59656E+00
+40.000E+00,-57.14906E+00
+45.000E+00,-55.61750E+00
+50.000E+00,-55.39688E+00
+55.000E+00,-54.02531E+00
+60.000E+00,-55.33781E+00
+65.000E+00,-55.48188E+00
+70.000E+00,-57.35500E+00
+75.000E+00,-58.22188E+00
+80.000E+00,-60.90688E+00
+85.000E+00,-64.00250E+00
+90.000E+00,-67.09938E+00
+95.000E+00,-68.25531E+00
+100.000E+00,-67.13281E+00
+105.000E+00,-63.94906E+00
+110.000E+00,-62.66094E+00
+115.000E+00,-61.84844E+00
+120.000E+00,-61.83094E+00
+125.000E+00,-64.13281E+00
+130.000E+00,-66.04969E+00
+135.000E+00,-68.52375E+00
+140.000E+00,-68.19000E+00
+145.000E+00,-68.08969E+00
+150.000E+00,-67.52656E+00
+155.000E+00,-65.73438E+00
+160.000E+00,-63.40438E+00
+165.000E+00,-62.26375E+00
+170.000E+00,-60.99375E+00
+175.000E+00,-59.59375E+00
+180.000E+00,-57.38375E+00
+185.000E+00,-56.79281E+00
+190.000E+00,-55.65344E+00
+195.000E+00,-55.69313E+00
+200.000E+00,-54.95313E+00
+205.000E+00,-55.26781E+00
+210.000E+00,-54.61563E+00
+215.000E+00,-55.39938E+00
+220.000E+00,-55.74063E+00
+225.000E+00,-57.03750E+00
+230.000E+00,-57.23531E+00
+235.000E+00,-58.30531E+00
+240.000E+00,-58.35156E+00
+245.000E+00,-58.96656E+00
+250.000E+00,-58.17969E+00
+255.000E+00,-58.95344E+00
+260.000E+00,-59.47625E+00
+265.000E+00,-62.20063E+00
+270.000E+00,-63.95188E+00
+275.000E+00,-64.28438E+00
+280.000E+00,-60.37875E+00
+285.000E+00,-57.51500E+00
+290.000E+00,-56.28000E+00
+295.000E+00,-55.97625E+00
+300.000E+00,-57.02344E+00
+305.000E+00,-59.51219E+00
+310.000E+00,-64.22375E+00
+315.000E+00,-73.50375E+00
+320.000E+00,-72.77969E+00
+325.000E+00,-63.15469E+00
+330.000E+00,-57.43188E+00
+335.000E+00,-53.76563E+00
+340.000E+00,-51.82719E+00
+345.000E+00,-51.26469E+00
+350.000E+00,-51.47656E+00
+355.000E+00,-52.12406E+00
+360.000E+00,-53.33906E+00
+365.000E+00,-54.76844E+00
+370.000E+00,-56.78438E+00
+375.000E+00,-59.32813E+00
+380.000E+00,-62.57969E+00
+385.000E+00,-64.05844E+00
+390.000E+00,-66.56906E+00
+395.000E+00,-66.45906E+00
+400.000E+00,-63.85469E+00
+405.000E+00,-60.71969E+00
+410.000E+00,-58.65625E+00
+415.000E+00,-57.27625E+00
+420.000E+00,-55.88031E+00
+425.000E+00,-54.72969E+00
+430.000E+00,-53.89719E+00
+435.000E+00,-54.37719E+00
+440.000E+00,-54.87906E+00
+445.000E+00,-55.47938E+00
+450.000E+00,-55.53438E+00
+455.000E+00,-55.36813E+00
+460.000E+00,-54.98688E+00
+465.000E+00,-55.33406E+00
+470.000E+00,-56.10406E+00
+475.000E+00,-57.80938E+00
+480.000E+00,-59.83250E+00
+485.000E+00,-62.35031E+00
+490.000E+00,-64.59406E+00
+495.000E+00,-67.91688E+00
+500.000E+00,-67.98438E+00
+505.000E+00,-65.09188E+00
+510.000E+00,-62.09938E+00
+515.000E+00,-59.33000E+00
+520.000E+00,-56.82563E+00
+525.000E+00,-54.48594E+00
+530.000E+00,-52.90969E+00
+535.000E+00,-52.14500E+00
+540.000E+00,-51.82875E+00
+545.000E+00,-51.62844E+00
+550.000E+00,-51.54844E+00
+555.000E+00,-51.97750E+00
+560.000E+00,-53.26250E+00
+565.000E+00,-55.50219E+00
+570.000E+00,-58.79844E+00
+575.000E+00,-60.79531E+00
+580.000E+00,-61.62281E+00
+585.000E+00,-61.31594E+00
+590.000E+00,-60.72344E+00
+595.000E+00,-58.55188E+00
+600.000E+00,-56.65625E+00
+605.000E+00,-55.17406E+00
+610.000E+00,-55.00281E+00
+615.000E+00,-55.03719E+00
+620.000E+00,-54.92469E+00
+625.000E+00,-53.90625E+00
+630.000E+00,-53.28125E+00
+635.000E+00,-53.33563E+00
+640.000E+00,-54.45906E+00
+645.000E+00,-55.06531E+00
+650.000E+00,-55.18594E+00
+655.000E+00,-54.16781E+00
+660.000E+00,-53.52781E+00
+665.000E+00,-53.03781E+00
+670.000E+00,-53.15563E+00
+675.000E+00,-53.35000E+00
+680.000E+00,-54.31000E+00
+685.000E+00,-55.47250E+00
+690.000E+00,-57.06719E+00
+695.000E+00,-58.79531E+00
+700.000E+00,-61.19531E+00
+705.000E+00,-65.65031E+00
+710.000E+00,-74.05625E+00
+715.000E+00,-75.25750E+00
+720.000E+00,-68.08031E+00
+725.000E+00,-65.33906E+00
+730.000E+00,-63.23094E+00
+735.000E+00,-61.44406E+00
+740.000E+00,-61.00750E+00
+745.000E+00,-61.90500E+00
+750.000E+00,-64.28125E+00
+755.000E+00,-68.77875E+00
+760.000E+00,-76.18656E+00
+765.000E+00,-72.35531E+00
+770.000E+00,-68.13813E+00
+775.000E+00,-66.55313E+00
+780.000E+00,-64.98938E+00
+785.000E+00,-62.62938E+00
+790.000E+00,-61.01031E+00
+795.000E+00,-59.56281E+00
+800.000E+00,-59.29688E+00
+805.000E+00,-59.26313E+00
+810.000E+00,-59.32719E+00
+815.000E+00,-59.54969E+00
+820.000E+00,-60.59406E+00
+825.000E+00,-62.50156E+00
+830.000E+00,-64.57688E+00
+835.000E+00,-62.63625E+00
+840.000E+00,-60.10125E+00
+845.000E+00,-58.39156E+00
+850.000E+00,-57.63906E+00
+855.000E+00,-57.84594E+00
+860.000E+00,-57.40094E+00
+865.000E+00,-56.87938E+00
+870.000E+00,-56.19500E+00
+875.000E+00,-56.04688E+00
+880.000E+00,-56.67688E+00
+885.000E+00,-57.66344E+00
+890.000E+00,-59.31281E+00
+895.000E+00,-61.94219E+00
+900.000E+00,-64.87969E+00
+905.000E+00,-66.41313E+00
+910.000E+00,-63.79688E+00
+915.000E+00,-60.36344E+00
+920.000E+00,-57.85969E+00
+925.000E+00,-55.92969E+00
+930.000E+00,-54.85656E+00
+935.000E+00,-54.68000E+00
+940.000E+00,-55.54000E+00
+945.000E+00,-56.93406E+00
+950.000E+00,-58.57031E+00
+955.000E+00,-60.67219E+00
+960.000E+00,-64.31594E+00
+965.000E+00,-68.95344E+00
+970.000E+00,-66.56406E+00
+975.000E+00,-62.02344E+00
+980.000E+00,-60.34844E+00
+985.000E+00,-60.03188E+00
+990.000E+00,-58.64875E+00
+995.000E+00,-57.08156E+00
+1.000000E+03,-55.66406E+00
+1.005000E+03,-55.06875E+00
+1.010000E+03,-54.53625E+00
+1.015000E+03,-54.62344E+00
+1.020000E+03,-54.89344E+00
+1.025000E+03,-55.67656E+00
+1.030000E+03,-56.11094E+00
+1.035000E+03,-56.54875E+00
+1.040000E+03,-56.87250E+00
+1.045000E+03,-57.48875E+00
+1.050000E+03,-56.75938E+00
+1.055000E+03,-55.76938E+00
+1.060000E+03,-54.39125E+00
+1.065000E+03,-53.72375E+00
+1.070000E+03,-53.59000E+00
+1.075000E+03,-54.21875E+00
+1.080000E+03,-55.39844E+00
+1.085000E+03,-57.60156E+00
+1.090000E+03,-61.33563E+00
+1.095000E+03,-65.66563E+00
+1.100000E+03,-63.21563E+00
+1.105000E+03,-58.83063E+00
+1.110000E+03,-56.76531E+00
+1.115000E+03,-55.77906E+00
+1.120000E+03,-55.77656E+00
+1.125000E+03,-56.39844E+00
+1.130000E+03,-57.28094E+00
+1.135000E+03,-57.44344E+00
+1.140000E+03,-56.75813E+00
+1.145000E+03,-55.72500E+00
+1.150000E+03,-55.30781E+00
+1.155000E+03,-55.28031E+00
+1.160000E+03,-55.10750E+00
+1.165000E+03,-54.92188E+00
