Frequency [kHz], IN2
1.000366211, -112.023727
1.000976562, -120
1.001586914, -115.95784
1.002197266, -110.545624
1.002807617, -107.728737
1.003417969, -106.547127
1.00402832, -106.296158
1.004638672, -107.333191
1.005249023, -110.680603
1.005859375, -115.244919
1.006469727, -110.767868
1.007080078, -108.886101
1.00769043, -107.471039
1.008300781, -106.677544
1.008911133, -104.75444
1.009521484, -105.666138
1.010131836, -108.75647
1.010742188, -109.496376
1.011352539, -108.629623
1.011962891, -108.718048
1.012573242, -111.39286
1.013183594, -114.718567
1.013793945, -116.286819
1.014404297, -114.114456
1.015014648, -114.189262
1.015625, -104.838524
1.016235352, -102.829727
1.016845703, -102.42424
1.017456055, -102.262741
1.018066406, -104.425598
1.018676758, -108.406189
1.019287109, -116.108131
1.019897461, -116.115334
1.020507812, -109.952927
1.021118164, -108.22818
1.021728516, -107.93425
1.022338867, -111.302628
1.022949219, -112.743904
1.02355957, -112.183304
1.024169922, -112.392212
1.0247802730000002, -110.138626
1.025390625, -107.574402
1.0260009769999998, -108.625702
1.026611328, -111.929665
1.02722168, -112.065018
1.027832031, -108.83287
1.028442383, -107.98439
1.0290527340000002, -107.032509
1.029663086, -106.07589
1.030273438, -107.621002
1.030883789, -109.129501
1.0314941409999998, -113.912971
1.032104492, -111.827866
1.032714844, -105.389511
1.033325195, -101.827377
1.033935547, -101.824051
1.0345458980000002, -104.955841
1.03515625, -108.818329
1.0357666019999998, -113.402069
1.036376953, -117.693291
1.036987305, -112.973434
1.037597656, -109.864334
1.038208008, -111.889275
1.0388183590000002, -116.728508
1.039428711, -120
1.040039062, -120
1.040649414, -110.366348
1.0412597659999998, -106.898911
1.041870117, -106.193001
1.042480469, -107.674835
1.04309082, -110.368408
1.043701172, -115.743134
1.0443115230000002, -120
1.044921875, -115.596123
1.0455322269999998, -111.81382
1.046142578, -115.058533
1.04675293, -114.949509
1.047363281, -106.752731
1.047973633, -103.291664
1.0485839840000002, -102.979523
1.049194336, -103.886192
1.049804688, -104.427551
1.050415039, -105.078201
1.0510253909999998, -107.065796
1.051635742, -115.399742
1.052246094, -120
1.052856445, -111.374817
1.053466797, -108.857132
1.0540771480000002, -110.703133
1.0546875, -119.659363
1.0552978519999998, -112.587952
1.055908203, -108.392502
1.056518555, -107.712402
1.057128906, -105.554619
1.057739258, -104.141251
1.0583496090000002, -104.894363
1.058959961, -105.535316
1.059570312, -105.586395
1.060180664, -107.661835
1.0607910159999998, -112.082222
1.061401367, -114.59465
1.062011719, -116.619858
1.06262207, -120
1.063232422, -120
1.0638427730000002, -119.014091
1.064453125, -114.006035
1.0650634769999998, -112.898941
1.065673828, -112.636497
1.06628418, -110.112686
1.066894531, -108.909897
1.067504883, -110.004967
1.0681152340000002, -108.112038
1.068725586, -105.017242
1.069335938, -102.900543
1.069946289, -102.521942
1.0705566409999998, -103.940498
1.071166992, -106.820976
1.071777344, -110.414124
1.072387695, -116.308609
1.072998047, -120
1.0736083980000002, -120
1.07421875, -119.344498
1.0748291019999998, -120
1.075439453, -120
1.076049805, -112.440567
1.076660156, -106.642731
1.077270508, -104.201164
1.0778808590000002, -102.93541
1.078491211, -103.932838
1.079101562, -108.051392
1.079711914, -117.885971
1.0803222659999998, -115.575882
1.080932617, -112.01532
1.081542969, -108.571228
1.08215332, -106.06324
1.082763672, -105.884918
1.0833740230000002, -106.029572
1.083984375, -108.209244
1.0845947269999998, -120
1.085205078, -115.022141
1.08581543, -109.269638
1.086425781, -107.171516
1.087036133, -108.970993
1.0876464840000002, -114.654404
1.088256836, -120
1.088867188, -117.507019
1.089477539, -114.950569
1.0900878909999998, -120
1.090698242, -120
1.091308594, -110.49073
1.091918945, -106.816696
1.092529297, -104.648895
1.0931396480000002, -104.451828
1.09375, -106.473679
1.0943603519999998, -108.736687
1.094970703, -109.557564
1.095581055, -110.166809
1.096191406, -112.63958
1.096801758, -115.19191
1.0974121090000002, -113.450882
1.098022461, -112.581253
1.098632812, -109.837997
1.099243164, -106.426834
1.0998535159999998, -104.505371
1.100463867, -103.292618
1.101074219, -101.710526
1.10168457, -101.904221
1.102294922, -104.00087
1.1029052730000002, -104.964058
1.103515625, -106.155434
1.1041259769999998, -108.997726
1.104736328, -109.193863
1.10534668, -107.51754
1.105957031, -105.403076
1.106567383, -104.729782
1.1071777340000002, -104.999619
1.107788086, -104.909332
1.108398438, -105.330269
1.109008789, -108.294212
1.1096191409999998, -113.762192
1.110229492, -120
1.110839844, -112.940994
1.111450195, -109.341087
1.112060547, -110.000389
1.1126708980000002, -110.081367
1.11328125, -107.951576
1.1138916019999998, -106.985893
1.114501953, -107.829979
1.115112305, -113.158226
1.115722656, -117.904495
1.116333008, -116.926025
1.1169433590000002, -118.894363
1.117553711, -115.726105
1.118164062, -109.313522
1.118774414, -106.500664
1.1193847659999998, -106.47522
1.119995117, -109.565338
1.120605469, -120
1.12121582, -108.730148
1.121826172, -106.270889
1.1224365230000002, -106.627686
1.123046875, -106.745392
1.1236572269999998, -107.116714
1.124267578, -108.558884
1.12487793, -105.536896
1.125488281, -104.052292
1.126098633, -103.518173
1.1267089840000002, -103.525345
1.127319336, -106.608109
1.127929688, -113.799805
1.128540039, -115.538483
1.1291503909999998, -106.308762
1.129760742, -103.69648
1.130371094, -103.3806
1.130981445, -104.105606
1.131591797, -107.342751
1.1322021480000002, -114.613457
1.1328125, -120
1.1334228519999998, -115.196014
1.134033203, -109.564209
1.134643555, -106.276291
1.135253906, -104.285004
1.135864258, -103.528053
1.1364746090000002, -103.892441
1.137084961, -105.952263
1.137695312, -107.203606
1.138305664, -106.964188
1.1389160159999998, -106.138954
1.139526367, -104.937607
1.140136719, -105.116234
1.14074707, -105.472076
1.141357422, -107.239182
1.1419677730000002, -115.54615
1.142578125, -111.860237
1.1431884769999998, -109.510994
1.143798828, -113.310242
1.14440918, -115.180908
