Frequency [kHz], IN1
1.001296997, -107.397995
1.006181396, -116.993752
1.011065735, -106.466988
1.0159501340000001, -100.671577
1.020834473, -99.886719
1.025718872, -101.103859
1.030603271, -104.206123
1.035487671, -110.551926
1.040371948, -114.379745
1.045256348, -110.506165
1.050140747, -108.365173
1.055025146, -107.09156
1.059909546, -117.122276
1.064793823, -111.74453
1.069678223, -115.374794
1.074562622, -109.560097
1.079447021, -102.683548
1.0843314210000001, -98.314041
1.089215698, -97.337082
1.094100098, -96.791191
1.098984497, -96.936371
1.103868896, -98.907425
1.1087532960000002, -103.232239
1.1136375729999999, -113.220703
1.1185219729999998, -108.008156
1.1234063719999998, -106.530342
1.1282907709999999, -108.672714
1.133175171, -107.812004
1.138059448, -107.715714
1.1429438479999998, -107.886345
1.1478282469999999, -109.141426
1.152712646, -108.728012
1.157597046, -103.470871
1.1624814449999998, -102.368019
1.1673657229999999, -101.546631
1.172250122, -99.75354
1.177134521, -101.95726
1.182018921, -108.234367
1.1869033199999999, -110.236282
1.191787598, -105.081398
1.196671997, -102.985519
1.201556396, -104.87915
1.206440796, -108.731689
1.211325195, -116.857742
1.216209473, -116.57296
1.221093872, -105.409767
1.225978271, -100.627533
1.2308626710000001, -98.217392
1.23574707, -96.722488
1.240631348, -98.212646
1.245515747, -104.14016
1.250400146, -113.372101
1.2552845460000002, -111.222466
1.260168945, -105.751152
1.2650532229999998, -103.763084
1.2699376219999998, -101.7659
1.2748220209999999, -101.718178
1.279706421, -102.485809
1.2845908199999998, -105.855598
1.2894750979999998, -114.615448
1.2943594969999999, -115.453407
1.299243896, -102.676628
1.304128296, -98.487236
1.3090126949999998, -98.17778
1.3138969729999999, -98.37619
1.318781372, -98.539284
1.323665771, -99.947853
1.328550171, -100.235153
1.3334345699999999, -99.65332
1.338318848, -98.567841
1.343203247, -98.090195
1.348087646, -98.085419
1.352972046, -98.696426
1.357856445, -99.369049
1.362740845, -99.976898
1.367625122, -101.394196
1.372509521, -101.041603
1.3773939210000001, -100.783043
1.38227832, -100.512787
1.38716272, -101.133278
1.392046997, -103.773132
1.396931396, -111.611374
1.4018157960000002, -110.155136
1.406700195, -104.368042
1.411584595, -101.010368
1.4164688719999998, -100.753365
1.4213532709999999, -102.539276
1.426237671, -102.895775
1.4311220699999998, -103.891129
1.4360064700000001, -104.317741
1.4408907469999999, -105.06797
1.445775146, -111.801987
1.450659546, -120
1.4555439449999998, -120
1.460428345, -110.423035
1.465312622, -106.170815
1.470197021, -108.21402
1.475081421, -106.735703
1.4799658199999999, -104.40052
1.48485022, -104.533699
1.489734497, -104.664116
1.494618896, -108.704163
1.499503296, -112.161743
1.504387695, -103.957199
1.509272095, -103.637344
1.514156372, -104.975525
1.519040771, -111.266319
1.5239251710000001, -105.392876
1.52880957, -101.503593
1.53369397, -101.023849
1.538578247, -101.860016
1.543462646, -101.431137
1.5483470460000002, -98.725983
1.553231445, -97.113037
1.558115845, -95.709778
1.5630002440000001, -95.105957
1.5678845209999999, -95.999619
1.572768921, -97.933899
1.5776533199999998, -100.64373
1.58253772, -101.777145
1.587422119, -101.993927
1.592306396, -103.489983
1.597190796, -101.079826
1.6020751949999998, -98.420647
1.606959595, -98.660057
1.611843994, -101.140671
1.616728271, -105.766159
1.621612671, -120
1.6264970699999999, -107.755013
1.63138147, -109.842056
1.636265869, -109.956879
1.641150146, -105.233879
1.646034546, -102.010925
1.650918945, -101.340172
1.655803345, -100.590858
1.660687744, -100.374176
1.665572021, -100.753296
1.6704564210000001, -101.654907
1.67534082, -103.374496
1.68022522, -103.577103
1.6851096190000001, -103.163063
1.689993896, -99.401665
1.6948782960000002, -98.382652
1.699762695, -100.326553
1.7046470950000001, -106.086952
1.7095314940000002, -113.923553
1.7144157709999999, -103.222321
1.719300171, -100.959854
1.7241845699999998, -100.71769
1.72906897, -102.711319
1.733953369, -106.783188
1.738837646, -108.918213
1.743722046, -109.07663
1.7486064449999998, -108.218628
1.753490845, -106.576584
1.758375244, -105.080643
1.763259521, -104.57592
1.768143921, -108.229752
1.7730283199999999, -106.035805
1.77791272, -101.73481
1.782797119, -99.783363
1.787681519, -99.068993
1.792565796, -100.434647
1.797450195, -102.710663
1.802334595, -103.750069
1.807218994, -102.938904
1.812103394, -102.008377
1.8169876710000001, -99.991066
1.82187207, -97.640549
1.82675647, -97.917206
1.8316408690000001, -99.674255
1.836525269, -101.175156
1.8414095460000002, -103.450653
1.846293945, -104.093857
1.8511783450000001, -105.49202
1.8560627440000002, -110.082169
1.860947144, -115.430359
1.865831421, -107.158241
1.8707158199999998, -104.489296
1.87560022, -106.068787
1.880484619, -104.496429
1.885369019, -102.518578
1.890253296, -103.57933
1.8951376949999998, -103.712494
1.900022095, -104.18145
1.904906494, -108.405548
1.909790894, -107.953903
1.914675171, -106.820953
1.9195595699999999, -105.479797
1.92444397, -104.016418
1.929328369, -108.037292
1.934212769, -118.8311
1.939097046, -116.05172
1.943981445, -108.703705
1.948865845, -107.990532
1.953750244, -107.413185
1.958634644, -105.977158
1.9635189210000001, -104.646217
1.96840332, -102.777725
1.97328772, -102.112282
1.9781721190000001, -101.046143
1.983056519, -100.099457
1.987940918, -98.965622
1.992825195, -97.645187
1.9977095950000001, -96.662949
2.002593994, -96.323563
2.007478394, -97.935852
2.012362793, -101.399651
2.01724707, -103.57695
2.02213147, -103.01445
2.027015869, -101.600525
2.031900269, -100.082169
2.036784668, -97.714554
2.041668945, -96.219475
2.046553345, -96.869446
2.051437744, -98.383606
2.056322021, -100.107353
2.061206543, -102.218475
2.06609082, -99.766785
2.070975342, -97.845551
2.075859619, -97.827904
2.080743896, -97.947388
2.0856284179999998, -99.234161
2.0905126949999997, -102.420105
2.0953972170000004, -103.989449
2.100281494, -103.292618
2.105165771, -102.790672
2.1100502929999996, -101.548882
2.11493457, -100.925179
2.119819092, -102.177574
2.1247033689999997, -104.567825
2.129587646, -108.839226
2.134472168, -107.33963
2.1393564449999998, -103.814964
2.144240967, -104.824364
2.149125244, -106.693405
2.154009521, -109.407333
2.1588940429999997, -114.779037
2.16377832, -110.646362
2.1686628420000003, -108.915329
2.1735471189999997, -106.815941
2.178431396, -110.448151
2.183315918, -118.625275
2.188200195, -115.704109
2.193084717, -114.254829
2.197968994, -115.067123
2.202853271, -106.312828
2.2077377929999997, -103.781212
2.21262207, -106.001038
2.2175065920000003, -106.55867
2.222390869, -103.509216
2.2272751459999998, -101.680023
2.232159668, -101.555405
2.237043945, -104.227913
2.241928467, -109.79493
2.2468127439999996, -117.464073
2.251697021, -107.99437
2.256581543, -103.97226
2.2614658199999997, -101.679581
2.266350342, -103.59623
2.271234619, -108.851227
2.276118896, -106.696838
2.2810034179999996, -104.154755
2.285887695, -103.890541
2.290772217, -104.573883
2.2956564939999997, -106.123672
2.300541016, -108.46463
2.305425293, -109.414734
2.31030957, -108.914261
2.315194092, -108.790115
2.320078369, -109.24176
2.324962891, -111.157059
2.3298471679999997, -113.910751
2.334731445, -120
2.3396159670000003, -115.800156
2.344500244, -116.68512
2.349384766, -115.426674
2.354269043, -110.260834
2.35915332, -109.489906
2.364037842, -109.153603
2.368922119, -109.519791
2.3738066410000003, -111.186569
2.3786909179999998, -113.23494
2.3835751949999997, -114.763336
2.3884597170000004, -117.066498
2.393343994, -111.787872
2.398228516, -112.591187
2.4031127929999996, -116.677887
2.40799707, -113.237526
2.412881592, -112.484886
2.4177658689999997, -109.79438
2.4226503910000003, -104.798668
2.427534668, -103.902321
2.4324189449999998, -103.600014
2.437303467, -102.577713
2.442187744, -101.849327
2.447072266, -101.383324
2.4519565429999997, -104.021027
2.45684082, -112.144302
2.4617253420000003, -120
2.4666096189999998, -109.613503
2.471494141, -108.405495
2.476378418, -112.584335
2.481262695, -107.766182
2.486147217, -105.595673
2.491031494, -104.902306
2.4959160160000002, -106.796532
2.5008002929999997, -108.612328
2.50568457, -106.662331
2.5105690920000003, -106.265884
2.515453369, -107.720604
2.520337891, -113.788361
2.525222168, -117.922447
2.530106445, -117.271889
2.534990967, -111.872498
2.5398752439999996, -105.106888
2.5447597660000003, -101.245926
2.549644043, -101.106529
2.5545283199999997, -101.552849
2.559412842, -102.767174
2.564297119, -105.644913
2.569181641, -106.382027
2.5740659179999996, -103.762672
2.578950195, -102.524178
2.5838347170000002, -103.324326
2.5887189939999997, -104.064934
2.593603516, -104.768219
2.598487793, -106.231766
2.60337207, -106.097336
2.608256592, -106.767738
2.613140869, -110.201859
2.618025391, -107.000618
2.6229096679999997, -102.715034
2.627793945, -101.388138
2.6326784670000003, -101.516502
2.637562744, -101.807953
2.642447266, -103.195358
2.647331543, -103.942535
2.65221582, -102.414314
2.657100342, -101.296112
2.661984619, -101.151932
2.6668691410000003, -101.40049
2.6717534179999998, -102.316376
2.6766376949999997, -103.179367
2.6815222170000004, -101.599808
2.686406494, -100.512543
2.691291016, -100.702179
2.6961752929999996, -102.687668
2.70105957, -107.644646
2.705944092, -110.468536
2.7108283689999997, -106.228401
2.715712891, -101.298264
2.720597168, -99.606018
2.725481689, -100.745758
2.730365967, -103.534851
2.735250244, -108.860794
2.740134766, -105.589371
2.7450190429999997, -101.686584
2.7499035640000002, -100.913467
2.7547878420000003, -100.891418
2.7596721189999998, -100.877731
2.764556641, -101.383438
2.769440918, -103.044739
2.774325439, -105.908813
2.779209717, -106.038635
2.784093994, -103.80024
2.7889785160000002, -102.537575
2.7938627929999997, -103.908958
2.7987473140000003, -107.332031
2.8036315920000003, -106.240273
2.808515869, -102.1203
2.813400391, -101.157623
2.818284668, -101.524818
2.823169189, -101.906998
2.828053467, -104.922485
2.8329377439999996, -110.031784
2.8378222660000003, -110.43486
2.842706543, -111.127464
2.8475910640000004, -108.058212
2.852475342, -101.858276
2.857359619, -99.096329
2.862244141, -98.849579
2.8671284179999996, -100.531586
2.872012939, -103.946106
2.8768972170000002, -104.63398
2.8817814939999997, -102.777603
2.886666016, -104.337936
2.891550293, -108.412697
2.896434814, -109.659653
2.901319092, -100.447845
2.906203369, -98.6577
2.911087891, -99.793915
2.9159721679999997, -101.869804
2.9208566890000003, -104.688858
2.9257409670000003, -110.289604
2.930625244, -106.806686
2.935509766, -102.607048
2.940394043, -102.629761
2.945278564, -103.662613
2.950162842, -107.56279
2.955047119, -114.049294
2.9599316410000003, -109.63974
2.9648159179999998, -103.54805
2.9697004390000004, -101.242065
2.9745847170000004, -101.893143
2.979468994, -106.795395
2.984353516, -120
2.9892377929999996, -107.529289
2.994122314, -104.072029
2.999006592, -105.058685
3.0038908689999997, -107.710266
3.008775391, -109.312103
3.013659668, -111.242897
3.018544189, -111.586151
3.023428467, -108.656555
3.028312744, -108.794518
3.033197266, -116.792976
3.0380815429999997, -120
3.0429660640000002, -114.63459
3.0478503420000003, -108.00267
3.0527346189999998, -104.00341
3.057619141, -100.867828
3.062503418, -100.446022
3.067387939, -103.863434
3.072272217, -112.07608
3.077156494, -120
3.0820410160000002, -118.241196
3.0869252929999997, -118.757126
3.0918098140000003, -115.168808
3.0966940920000003, -106.687103
3.101578369, -107.401115
3.106462891, -108.883209
3.111347168, -108.480957
3.116231689, -110.193718
3.121115967, -105.982803
3.1260004880000003, -101.079559
3.1308847660000003, -101.574615
3.135769043, -103.469635
3.1406535640000004, -104.474602
3.145537842, -104.916824
3.150422363, -104.592575
3.155306641, -104.700714
3.1601909179999996, -102.915077
3.165075439, -102.630157
3.1699597170000002, -104.056999
3.174844238, -104.650391
3.179728516, -104.304108
3.184612793, -105.266792
3.189497314, -104.417793
3.194381592, -103.882187
3.199266113, -106.381958
3.204150391, -111.729294
3.2090346679999997, -108.508133
3.2139191890000003, -104.331894
3.2188034670000003, -102.423981
3.223687988, -103.917427
3.228572266, -105.613388
3.233456543, -105.61779
3.238341064, -104.62088
3.243225342, -105.152756
3.2481098630000003, -107.578957
3.2529941410000003, -113.277191
3.2578784179999998, -120
3.2627629390000004, -115.789093
3.2676472170000004, -111.024277
3.272531738, -108.560684
3.277416016, -103.196121
3.2823002929999996, -99.720276
3.287184814, -97.497467
3.292069092, -96.608994
3.2969536130000003, -99.120178
3.301837891, -105.955902
3.306722168, -106.006943
3.311606689, -100.980568
3.316490967, -99.5924
3.321375488, -100.38591
3.326259766, -102.596138
3.3311440429999997, -104.572769
3.3360285640000003, -103.485146
3.3409128420000003, -102.009117
3.345797363, -102.063133
3.350681641, -101.71302
3.355565918, -99.762535
3.360450439, -97.166031
3.365334717, -95.848251
3.3702192380000002, -97.234985
3.3751035160000002, -101.801971
3.3799877929999997, -110.942856
3.3848723140000003, -107.672287
3.3897565920000003, -103.737274
3.394641113, -102.221542
3.399525391, -101.090866
3.404409668, -102.3564
3.409294189, -104.817207
3.414178467, -102.197296
3.4190629880000003, -100.562881
3.4239472660000003, -100.191025
3.428831543, -102.081406
3.4337160640000004, -107.632156
3.438600342, -111.06778
3.443484863, -110.132629
3.448369141, -107.769119
3.4532534179999996, -107.687576
3.458137939, -107.495888
3.4630222170000002, -106.175461
3.467906738, -105.631119
3.472791016, -105.697861
3.477675293, -106.388916
3.482559814, -108.605515
3.487444092, -113.014946
3.492328613, -113.46611
3.497212891, -111.064949
3.5020971679999997, -107.430618
3.5069816890000003, -104.789742
3.5118659670000003, -103.594902
3.516750488, -104.541473
3.521634766, -105.278168
3.526519043, -106.855888
3.531403564, -117.865814
3.536287842, -113.66787
3.5411723630000003, -110.306236
3.5460566410000003, -108.577644
3.550941162, -109.767929
3.5558254390000004, -107.855774
3.5607097170000004, -106.043457
3.565594238, -105.507828
3.570478516, -106.286179
3.5753630370000002, -109.298431
3.580247314, -116.80632
3.585131592, -111.391617
3.5900161130000003, -111.077744
3.594900391, -113.909546
3.599784912, -114.187302
3.604669189, -107.973862
3.609553467, -104.877663
3.614437988, -103.725647
3.619322266, -105.047234
3.624206787, -107.193588
3.6290910640000003, -103.185272
3.6339753420000003, -101.372269
3.638859863, -100.490372
3.643744141, -99.751236
3.648628662, -100.906265
3.653512939, -103.052711
3.658397217, -105.696487
3.6632817380000002, -108.842964
3.6681660160000003, -105.60968
3.673050537, -103.67379
3.6779348140000003, -103.247849
3.6828190920000003, -104.335327
3.687703613, -107.218925
3.692587891, -110.222687
3.697472412, -114.453934
3.702356689, -112.379898
3.707240967, -105.593651
3.7121254880000003, -102.929451
3.7170097660000003, -101.363556
3.721894287, -101.309433
3.7267785640000004, -102.441109
3.731662842, -103.564003
3.736547363, -104.627693
3.741431641, -103.061813
3.7463161620000003, -102.075363
3.751200439, -103.593864
3.7560847170000002, -104.783928
3.760969238, -106.058365
3.765853516, -111.171249
3.770738037, -110.860207
3.775622314, -109.845245
3.780506592, -105.113113
3.785391113, -101.929916
3.790275391, -99.120697
3.795159912, -97.158279
3.8000441890000003, -97.341705
3.8049284670000003, -100.972672
3.809812988, -109.90844
3.814697266, -109.613716
3.819581787, -104.771385
3.824466064, -103.945351
3.829350342, -105.625801
3.8342348630000003, -112.457764
3.8391191410000003, -120
3.844003662, -119.448303
3.8488879390000004, -112.050095
3.8537722170000004, -110.513443
3.858656738, -108.991356
3.863541016, -105.342216
3.8684255370000002, -105.471153
3.873309814, -108.60936
3.878194092, -112.561172
3.8830786130000003, -120
3.887962891, -114.333496
3.892847412, -107.115181
3.897731689, -104.323029
3.902615967, -104.17057
3.907500488, -107.620552
3.912384766, -106.80645
3.917269287, -102.058174
3.9221535640000003, -99.46817
3.9270378420000003, -99.863068
3.931922363, -103.260361
3.936806641, -107.075386
3.941691162, -109.030075
3.946575439, -107.694023
3.951459717, -109.794052
3.9563442380000002, -117.893463
3.9612285160000003, -116.752884
3.966113037, -106.517883
3.9709973140000003, -103.766266
3.975881836, -103.606506
3.980766113, -103.07328
3.985650391, -103.690346
3.990534912, -106.534767
3.995419189, -105.378601
4.000303711, -106.011436
4.005187988, -106.936607
4.010072266, -107.290581
4.014956787, -110.721558
4.019841064, -113.690018
4.024725586, -109.84201
4.029609863, -105.424545
4.034494141, -105.418823
4.039378662, -107.013763
4.044262939, -105.918167
4.0491474610000004, -105.086662
4.054031738, -107.0485
4.058916016, -107.087479
4.063800537, -107.246735
4.068684814, -106.386833
4.073569336, -109.32756
4.078453613, -114.145668
4.083337891, -114.547577
4.088222412, -112.988983
4.093106689, -108.743652
4.097991210999999, -108.037483
4.102875488, -111.68837
4.107759766, -120
4.112644043, -109.019051
4.117528809, -105.978439
4.122413086, -107.167068
4.127297362999999, -108.288307
4.132181641, -108.086174
4.137065918, -108.715836
4.141950684, -106.5448
4.146834961, -104.268799
4.151719238, -104.959915
4.1566035160000006, -106.399155
4.161487793, -108.300858
4.166372559, -114.384949
4.1712568359999995, -113.0681
4.176141113, -110.517418
4.181025391, -106.972748
4.185909668, -103.911789
4.190794434000001, -103.223633
4.195678710999999, -104.710686
4.200562988, -104.341553
4.205447266, -102.518761
4.210331543000001, -101.444092
4.2152163090000005, -100.582542
4.220100585999999, -101.427841
4.2249848629999995, -103.637878
4.229869141, -109.744415
4.234753418, -117.708549
4.239638184, -108.113602
4.244522461, -105.001534
4.249406737999999, -104.29493
4.254291016, -104.805595
4.259175293, -106.597374
4.264060059, -109.550102
4.268944336, -109.04895
4.273828613, -107.001076
4.2787128910000005, -106.239883
4.283597168, -107.504616
4.288481934, -109.07225
4.2933662109999995, -107.74968
4.298250488, -106.828354
4.303134766, -106.670219
4.308019043, -105.150513
4.312903809000001, -107.639351
4.317788085999999, -120
4.322672363, -109.460205
4.327556641, -102.304459
4.3324409180000005, -101.730988
4.3373256840000005, -107.449448
4.342209961, -118.954887
4.3470942379999995, -106.606644
4.351978516, -108.200607
4.356862793, -115.969536
4.361747559, -120
4.366631836, -108.677589
4.371516112999999, -103.985275
4.376400391, -102.746811
4.381284668, -101.279037
4.386169434, -101.293427
4.391053711, -104.512238
4.395937988, -105.114563
4.4008222660000005, -103.424164
4.405706543, -103.236969
4.410591309, -102.810196
4.4154755859999995, -103.407555
4.420359863, -106.425003
4.425244141, -110.969711
4.430128418000001, -108.581711
4.435013184000001, -106.178284
4.439897460999999, -105.079422
4.444781738, -106.161308
4.449666016, -108.313133
4.4545502930000005, -107.027267
4.4594350590000005, -106.912163
4.464319336, -109.929085
4.4692036129999995, -103.87146
4.474087891, -103.126213
4.478972168, -103.327972
4.483856934, -102.485771
4.488741211, -104.60125
4.493625487999999, -106.277664
4.498509766, -105.445908
4.503394043, -104.267883
4.508278809, -102.185219
4.513163086, -103.474434
4.518047363, -107.166763
4.5229316410000004, -108.547485
4.527815918, -108.22229
4.532700684, -109.069595
4.537584960999999, -111.587204
4.542469238, -110.699532
4.547353516, -104.787888
4.552237793000001, -101.819801
4.557122559000001, -101.621513
4.562006835999999, -103.083511
4.566891113, -104.888985
4.571775391, -107.222076
4.5766596680000005, -110.710487
4.581544434, -112.834534
4.586428711, -108.172623
4.591312987999999, -107.647667
4.596197266, -108.343849
4.601082031, -104.894173
4.605966309, -102.106461
4.610850586, -104.307343
4.615734862999999, -107.712669
4.620619141, -106.947296
4.625503906, -106.076668
4.630388184, -110.853027
4.635272461, -115.028305
4.640156738, -112.600296
4.645041016, -108.430702
4.649925781, -106.966217
4.654810059000001, -109.414261
4.659694335999999, -110.145096
4.664578613, -108.296143
4.669462891, -107.666214
4.674347656, -118.464066
4.679231934000001, -109.20607
4.684116210999999, -105.011826
4.689000488, -106.227303
4.693884766, -114.430229
4.698769531, -118.724579
4.703653809, -110.656967
4.708538086, -114.243027
4.713422362999999, -112.010727
4.718306641, -105.103233
4.723191406, -105.728012
4.728075684, -111.495331
4.732959961, -117.100639
4.737844238, -114.461533
4.742728516000001, -110.103668
4.747613281, -104.293839
4.752497559, -100.35994
4.7573818359999995, -100.226074
4.762266113, -101.391289
4.767150391, -102.393425
4.772035156, -104.446037
4.776919434000001, -107.949005
4.781803710999999, -112.649094
4.786687988, -114.076523
4.791572266, -111.935211
4.796457031, -106.965858
4.801341309000001, -102.831688
4.806225585999999, -101.458275
4.8111098629999995, -102.309967
4.815994141, -102.109337
4.820878906, -102.275986
4.825763184, -102.242859
4.830647461, -101.882614
4.835531737999999, -103.33535
4.840416016, -107.860641
4.845300781, -109.809273
4.850185059, -108.107819
4.855069336, -110.629883
4.859953613, -114.275497
4.8648378910000005, -120
4.8697226559999995, -116.10775
4.874606934, -111.128654
4.8794912109999995, -120
4.884375488, -108.556885
4.889259766, -103.790367
4.894144531, -103.161011
4.899028809000001, -104.075912
4.903913085999999, -106.480171
4.908797363, -109.042427
4.913681641, -107.369164
4.918566406, -107.804276
4.9234506840000005, -110.287094
4.928334960999999, -106.859329
4.9332192379999995, -104.08223
4.938103516, -104.875145
4.942988281, -110.633942
4.947872559, -120
4.952756836, -117.852005
4.957641112999999, -113.15593
4.962525391, -108.503571
4.967410156, -107.038376
4.972294434, -106.532928
4.977178711, -106.887123
4.982062988, -107.883987
4.9869472660000005, -108.661972
